year,month,day,hour,file,valid_time
2021,3,14,16,2021/03/14/CMPA5_0.05_20210314_f160000_HOR_NRT_PRE.nc,20210314T160000
2021,3,14,17,2021/03/14/CMPA5_0.05_20210314_f170000_HOR_NRT_PRE.nc,20210314T170000
2021,3,14,18,2021/03/14/CMPA5_0.05_20210314_f180000_HOR_NRT_PRE.nc,20210314T180000
2021,3,14,19,2021/03/14/CMPA5_0.05_20210314_f190000_HOR_NRT_PRE.nc,20210314T190000
2021,3,14,20,2021/03/14/CMPA5_0.05_20210314_f200000_HOR_NRT_PRE.nc,20210314T200000
2021,3,14,21,2021/03/14/CMPA5_0.05_20210314_f210000_HOR_NRT_PRE.nc,20210314T210000
2021,3,14,22,2021/03/14/CMPA5_0.05_20210314_f220000_HOR_NRT_PRE.nc,20210314T220000
2021,3,14,23,2021/03/14/CMPA5_0.05_20210314_f230000_HOR_NRT_PRE.nc,20210314T230000
2021,3,15,0,2021/03/15/CMPA5_0.05_20210315_f000000_HOR_NRT_PRE.nc,20210315T000000
2021,3,15,1,2021/03/15/CMPA5_0.05_20210315_f010000_HOR_NRT_PRE.nc,20210315T010000
2021,3,15,2,2021/03/15/CMPA5_0.05_20210315_f020000_HOR_NRT_PRE.nc,20210315T020000
2021,3,15,3,2021/03/15/CMPA5_0.05_20210315_f030000_HOR_NRT_PRE.nc,20210315T030000
2021,3,15,4,2021/03/15/CMPA5_0.05_20210315_f040000_HOR_NRT_PRE.nc,20210315T040000
2021,3,15,5,2021/03/15/CMPA5_0.05_20210315_f050000_HOR_NRT_PRE.nc,20210315T050000
2021,3,15,6,2021/03/15/CMPA5_0.05_20210315_f060000_HOR_NRT_PRE.nc,20210315T060000
2021,3,15,7,2021/03/15/CMPA5_0.05_20210315_f070000_HOR_NRT_PRE.nc,20210315T070000
2021,3,15,8,2021/03/15/CMPA5_0.05_20210315_f080000_HOR_NRT_PRE.nc,20210315T080000
2021,3,15,9,2021/03/15/CMPA5_0.05_20210315_f090000_HOR_NRT_PRE.nc,20210315T090000
2021,3,15,10,2021/03/15/CMPA5_0.05_20210315_f100000_HOR_NRT_PRE.nc,20210315T100000
2021,3,15,11,2021/03/15/CMPA5_0.05_20210315_f110000_HOR_NRT_PRE.nc,20210315T110000
2021,3,15,12,2021/03/15/CMPA5_0.05_20210315_f120000_HOR_NRT_PRE.nc,20210315T120000
2021,3,15,13,2021/03/15/CMPA5_0.05_20210315_f130000_HOR_NRT_PRE.nc,20210315T130000
2021,3,15,14,2021/03/15/CMPA5_0.05_20210315_f140000_HOR_NRT_PRE.nc,20210315T140000
2021,3,15,15,2021/03/15/CMPA5_0.05_20210315_f150000_HOR_NRT_PRE.nc,20210315T150000
2021,3,15,16,2021/03/15/CMPA5_0.05_20210315_f160000_HOR_NRT_PRE.nc,20210315T160000
2021,3,15,17,2021/03/15/CMPA5_0.05_20210315_f170000_HOR_NRT_PRE.nc,20210315T170000
2021,3,15,18,2021/03/15/CMPA5_0.05_20210315_f180000_HOR_NRT_PRE.nc,20210315T180000
2021,3,15,19,2021/03/15/CMPA5_0.05_20210315_f190000_HOR_NRT_PRE.nc,20210315T190000
2021,3,15,20,2021/03/15/CMPA5_0.05_20210315_f200000_HOR_NRT_PRE.nc,20210315T200000
