year,month,day,cycle,lead_time,file,valid_time
2021,3,15,0,0,2021/03/15/00/EC_pressure_0.05_20210315_T00_f000.nc,20210315T000000
2021,3,15,0,3,2021/03/15/00/EC_pressure_0.05_20210315_T00_f003.nc,20210315T030000
2021,3,15,0,6,2021/03/15/00/EC_pressure_0.05_20210315_T00_f006.nc,20210315T060000
2021,3,15,0,9,2021/03/15/00/EC_pressure_0.05_20210315_T00_f009.nc,20210315T090000
2021,3,15,0,12,2021/03/15/00/EC_pressure_0.05_20210315_T00_f012.nc,20210315T120000
2021,3,15,0,15,2021/03/15/00/EC_pressure_0.05_20210315_T00_f015.nc,20210315T150000
2021,3,15,0,18,2021/03/15/00/EC_pressure_0.05_20210315_T00_f018.nc,20210315T180000
2021,3,15,0,21,2021/03/15/00/EC_pressure_0.05_20210315_T00_f021.nc,20210315T210000
2021,3,15,0,24,2021/03/15/00/EC_pressure_0.05_20210315_T00_f024.nc,20210316T000000
2021,3,15,0,27,2021/03/15/00/EC_pressure_0.05_20210315_T00_f027.nc,20210316T030000
2021,3,15,0,30,2021/03/15/00/EC_pressure_0.05_20210315_T00_f030.nc,20210316T060000
2021,3,15,0,33,2021/03/15/00/EC_pressure_0.05_20210315_T00_f033.nc,20210316T090000
2021,3,15,0,36,2021/03/15/00/EC_pressure_0.05_20210315_T00_f036.nc,20210316T120000
2021,3,15,0,39,2021/03/15/00/EC_pressure_0.05_20210315_T00_f039.nc,20210316T150000
2021,3,15,0,42,2021/03/15/00/EC_pressure_0.05_20210315_T00_f042.nc,20210316T180000
2021,3,15,0,45,2021/03/15/00/EC_pressure_0.05_20210315_T00_f045.nc,20210316T210000
2021,3,15,0,48,2021/03/15/00/EC_pressure_0.05_20210315_T00_f048.nc,20210317T000000
2021,3,15,12,0,2021/03/15/12/EC_pressure_0.05_20210315_T12_f000.nc,20210315T120000
2021,3,15,12,3,2021/03/15/12/EC_pressure_0.05_20210315_T12_f003.nc,20210315T150000
2021,3,15,12,6,2021/03/15/12/EC_pressure_0.05_20210315_T12_f006.nc,20210315T180000
2021,3,15,12,9,2021/03/15/12/EC_pressure_0.05_20210315_T12_f009.nc,20210315T210000
2021,3,15,12,12,2021/03/15/12/EC_pressure_0.05_20210315_T12_f012.nc,20210316T000000
2021,3,15,12,15,2021/03/15/12/EC_pressure_0.05_20210315_T12_f015.nc,20210316T030000
2021,3,15,12,18,2021/03/15/12/EC_pressure_0.05_20210315_T12_f018.nc,20210316T060000
2021,3,15,12,21,2021/03/15/12/EC_pressure_0.05_20210315_T12_f021.nc,20210316T090000
2021,3,15,12,24,2021/03/15/12/EC_pressure_0.05_20210315_T12_f024.nc,20210316T120000
2021,3,15,12,27,2021/03/15/12/EC_pressure_0.05_20210315_T12_f027.nc,20210316T150000
2021,3,15,12,30,2021/03/15/12/EC_pressure_0.05_20210315_T12_f030.nc,20210316T180000
2021,3,15,12,33,2021/03/15/12/EC_pressure_0.05_20210315_T12_f033.nc,20210316T210000
2021,3,15,12,36,2021/03/15/12/EC_pressure_0.05_20210315_T12_f036.nc,20210317T000000
