year,month,day,cycle,lead_time,file,valid_time
2019,6,5,0,0,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f000.nc,20190605T000000
2019,6,5,0,1,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f001.nc,20190605T010000
2019,6,5,0,2,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f002.nc,20190605T020000
2019,6,5,0,3,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f003.nc,20190605T030000
2019,6,5,0,4,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f004.nc,20190605T040000
2019,6,5,0,5,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f005.nc,20190605T050000
2019,6,5,0,6,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f006.nc,20190605T060000
2019,6,5,0,7,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f007.nc,20190605T070000
2019,6,5,0,8,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f008.nc,20190605T080000
2019,6,5,0,9,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f009.nc,20190605T090000
2019,6,5,0,10,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f010.nc,20190605T100000
2019,6,5,0,11,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f011.nc,20190605T110000
2019,6,5,0,12,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f012.nc,20190605T120000
2019,6,5,0,13,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f013.nc,20190605T130000
2019,6,5,0,14,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f014.nc,20190605T140000
2019,6,5,0,15,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f015.nc,20190605T150000
2019,6,5,0,16,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f016.nc,20190605T160000
2019,6,5,0,17,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f017.nc,20190605T170000
2019,6,5,0,18,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f018.nc,20190605T180000
2019,6,5,0,19,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f019.nc,20190605T190000
2019,6,5,0,20,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f020.nc,20190605T200000
2019,6,5,0,21,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f021.nc,20190605T210000
2019,6,5,0,22,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f022.nc,20190605T220000
2019,6,5,0,23,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f023.nc,20190605T230000
2019,6,5,0,24,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f024.nc,20190606T000000
2019,6,5,0,25,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f025.nc,20190606T010000
2019,6,5,0,26,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f026.nc,20190606T020000
2019,6,5,0,27,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f027.nc,20190606T030000
2019,6,5,0,28,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f028.nc,20190606T040000
2019,6,5,0,29,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f029.nc,20190606T050000
2019,6,5,0,30,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f030.nc,20190606T060000
2019,6,5,0,31,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f031.nc,20190606T070000
2019,6,5,0,32,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f032.nc,20190606T080000
2019,6,5,0,33,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f033.nc,20190606T090000
2019,6,5,0,34,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f034.nc,20190606T100000
2019,6,5,0,35,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f035.nc,20190606T110000
2019,6,5,0,36,2019/06/05/00/GRAPES_surface_0.05_20190605_T00_f036.nc,20190606T120000
2019,6,5,12,0,2019/06/05/12/GRAPES_surface_0.05_20190605_T12_f000.nc,20190605T120000
2019,6,5,12,1,2019/06/05/12/GRAPES_surface_0.05_20190605_T12_f001.nc,20190605T130000
2019,6,5,12,2,2019/06/05/12/GRAPES_surface_0.05_20190605_T12_f002.nc,20190605T140000
2019,6,5,12,3,2019/06/05/12/GRAPES_surface_0.05_20190605_T12_f003.nc,20190605T150000
2019,6,5,12,4,2019/06/05/12/GRAPES_surface_0.05_20190605_T12_f004.nc,20190605T160000
2019,6,5,12,5,2019/06/05/12/GRAPES_surface_0.05_20190605_T12_f005.nc,20190605T170000
2019,6,5,12,6,2019/06/05/12/GRAPES_surface_0.05_20190605_T12_f006.nc,20190605T180000
2019,6,5,12,7,2019/06/05/12/GRAPES_surface_0.05_20190605_T12_f007.nc,20190605T190000
2019,6,5,12,8,2019/06/05/12/GRAPES_surface_0.05_20190605_T12_f008.nc,20190605T200000
2019,6,5,12,9,2019/06/05/12/GRAPES_surface_0.05_20190605_T12_f009.nc,20190605T210000
