year,month,day,cycle,lead_time,file,valid_time
2021,3,15,0,0,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f000.nc,20210315T000000
2021,3,15,0,1,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f001.nc,20210315T010000
2021,3,15,0,2,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f002.nc,20210315T020000
2021,3,15,0,3,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f003.nc,20210315T030000
2021,3,15,0,4,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f004.nc,20210315T040000
2021,3,15,0,5,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f005.nc,20210315T050000
2021,3,15,0,6,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f006.nc,20210315T060000
2021,3,15,0,7,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f007.nc,20210315T070000
2021,3,15,0,8,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f008.nc,20210315T080000
2021,3,15,0,9,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f009.nc,20210315T090000
2021,3,15,0,10,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f010.nc,20210315T100000
2021,3,15,0,11,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f011.nc,20210315T110000
2021,3,15,0,12,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f012.nc,20210315T120000
2021,3,15,0,13,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f013.nc,20210315T130000
2021,3,15,0,14,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f014.nc,20210315T140000
2021,3,15,0,15,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f015.nc,20210315T150000
2021,3,15,0,16,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f016.nc,20210315T160000
2021,3,15,0,17,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f017.nc,20210315T170000
2021,3,15,0,18,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f018.nc,20210315T180000
2021,3,15,0,19,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f019.nc,20210315T190000
2021,3,15,0,20,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f020.nc,20210315T200000
2021,3,15,0,21,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f021.nc,20210315T210000
2021,3,15,0,22,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f022.nc,20210315T220000
2021,3,15,0,23,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f023.nc,20210315T230000
2021,3,15,0,24,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f024.nc,20210316T000000
2021,3,15,0,25,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f025.nc,20210316T010000
2021,3,15,0,26,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f026.nc,20210316T020000
2021,3,15,0,27,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f027.nc,20210316T030000
2021,3,15,0,28,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f028.nc,20210316T040000
2021,3,15,0,29,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f029.nc,20210316T050000
2021,3,15,0,30,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f030.nc,20210316T060000
2021,3,15,0,31,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f031.nc,20210316T070000
2021,3,15,0,32,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f032.nc,20210316T080000
2021,3,15,0,33,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f033.nc,20210316T090000
2021,3,15,0,34,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f034.nc,20210316T100000
2021,3,15,0,35,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f035.nc,20210316T110000
2021,3,15,0,36,2021/03/15/00/GRAPES_surface_0.05_20210315_T00_f036.nc,20210316T120000
2021,3,15,12,0,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f000.nc,20210315T120000
2021,3,15,12,1,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f001.nc,20210315T130000
2021,3,15,12,2,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f002.nc,20210315T140000
2021,3,15,12,3,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f003.nc,20210315T150000
2021,3,15,12,4,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f004.nc,20210315T160000
2021,3,15,12,5,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f005.nc,20210315T170000
2021,3,15,12,6,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f006.nc,20210315T180000
2021,3,15,12,7,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f007.nc,20210315T190000
2021,3,15,12,8,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f008.nc,20210315T200000
2021,3,15,12,9,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f009.nc,20210315T210000
2021,3,15,12,10,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f010.nc,20210315T220000
2021,3,15,12,11,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f011.nc,20210315T230000
2021,3,15,12,12,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f012.nc,20210316T000000
2021,3,15,12,13,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f013.nc,20210316T010000
2021,3,15,12,14,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f014.nc,20210316T020000
2021,3,15,12,15,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f015.nc,20210316T030000
2021,3,15,12,16,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f016.nc,20210316T040000
2021,3,15,12,17,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f017.nc,20210316T050000
2021,3,15,12,18,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f018.nc,20210316T060000
2021,3,15,12,19,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f019.nc,20210316T070000
2021,3,15,12,20,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f020.nc,20210316T080000
2021,3,15,12,21,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f021.nc,20210316T090000
2021,3,15,12,22,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f022.nc,20210316T100000
2021,3,15,12,23,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f023.nc,20210316T110000
2021,3,15,12,24,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f024.nc,20210316T120000
2021,3,15,12,25,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f025.nc,20210316T130000
2021,3,15,12,26,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f026.nc,20210316T140000
2021,3,15,12,27,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f027.nc,20210316T150000
2021,3,15,12,28,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f028.nc,20210316T160000
2021,3,15,12,29,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f029.nc,20210316T170000
2021,3,15,12,30,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f030.nc,20210316T180000
2021,3,15,12,31,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f031.nc,20210316T190000
2021,3,15,12,32,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f032.nc,20210316T200000
2021,3,15,12,33,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f033.nc,20210316T210000
2021,3,15,12,34,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f034.nc,20210316T220000
2021,3,15,12,35,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f035.nc,20210316T230000
2021,3,15,12,36,2021/03/15/12/GRAPES_surface_0.05_20210315_T12_f036.nc,20210317T000000
2021,3,16,0,0,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f000.nc,20210316T000000
2021,3,16,0,1,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f001.nc,20210316T010000
2021,3,16,0,2,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f002.nc,20210316T020000
2021,3,16,0,3,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f003.nc,20210316T030000
2021,3,16,0,4,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f004.nc,20210316T040000
2021,3,16,0,5,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f005.nc,20210316T050000
2021,3,16,0,6,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f006.nc,20210316T060000
2021,3,16,0,7,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f007.nc,20210316T070000
2021,3,16,0,8,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f008.nc,20210316T080000
2021,3,16,0,9,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f009.nc,20210316T090000
2021,3,16,0,10,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f010.nc,20210316T100000
2021,3,16,0,11,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f011.nc,20210316T110000
2021,3,16,0,12,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f012.nc,20210316T120000
2021,3,16,0,13,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f013.nc,20210316T130000
2021,3,16,0,14,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f014.nc,20210316T140000
2021,3,16,0,15,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f015.nc,20210316T150000
2021,3,16,0,16,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f016.nc,20210316T160000
2021,3,16,0,17,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f017.nc,20210316T170000
2021,3,16,0,18,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f018.nc,20210316T180000
2021,3,16,0,19,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f019.nc,20210316T190000
2021,3,16,0,20,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f020.nc,20210316T200000
2021,3,16,0,21,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f021.nc,20210316T210000
2021,3,16,0,22,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f022.nc,20210316T220000
2021,3,16,0,23,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f023.nc,20210316T230000
2021,3,16,0,24,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f024.nc,20210317T000000
2021,3,16,0,25,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f025.nc,20210317T010000
2021,3,16,0,26,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f026.nc,20210317T020000
2021,3,16,0,27,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f027.nc,20210317T030000
2021,3,16,0,28,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f028.nc,20210317T040000
2021,3,16,0,29,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f029.nc,20210317T050000
2021,3,16,0,30,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f030.nc,20210317T060000
2021,3,16,0,31,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f031.nc,20210317T070000
2021,3,16,0,32,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f032.nc,20210317T080000
2021,3,16,0,33,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f033.nc,20210317T090000
2021,3,16,0,34,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f034.nc,20210317T100000
2021,3,16,0,35,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f035.nc,20210317T110000
2021,3,16,0,36,2021/03/16/00/GRAPES_surface_0.05_20210316_T00_f036.nc,20210317T120000
2021,3,16,12,0,2021/03/16/12/GRAPES_surface_0.05_20210316_T12_f000.nc,20210316T120000
2021,3,16,12,1,2021/03/16/12/GRAPES_surface_0.05_20210316_T12_f001.nc,20210316T130000
2021,3,16,12,2,2021/03/16/12/GRAPES_surface_0.05_20210316_T12_f002.nc,20210316T140000
2021,3,16,12,3,2021/03/16/12/GRAPES_surface_0.05_20210316_T12_f003.nc,20210316T150000
2021,3,16,12,4,2021/03/16/12/GRAPES_surface_0.05_20210316_T12_f004.nc,20210316T160000
2021,3,16,12,5,2021/03/16/12/GRAPES_surface_0.05_20210316_T12_f005.nc,20210316T170000
2021,3,16,12,6,2021/03/16/12/GRAPES_surface_0.05_20210316_T12_f006.nc,20210316T180000
2021,3,16,12,7,2021/03/16/12/GRAPES_surface_0.05_20210316_T12_f007.nc,20210316T190000
2021,3,16,12,8,2021/03/16/12/GRAPES_surface_0.05_20210316_T12_f008.nc,20210316T200000
2021,3,16,12,9,2021/03/16/12/GRAPES_surface_0.05_20210316_T12_f009.nc,20210316T210000
2021,3,16,12,10,2021/03/16/12/GRAPES_surface_0.05_20210316_T12_f010.nc,20210316T220000
2021,3,16,12,11,2021/03/16/12/GRAPES_surface_0.05_20210316_T12_f011.nc,20210316T230000
2021,3,16,12,12,2021/03/16/12/GRAPES_surface_0.05_20210316_T12_f012.nc,20210317T000000
2021,3,16,12,13,2021/03/16/12/GRAPES_surface_0.05_20210316_T12_f013.nc,20210317T010000
2021,3,16,12,14,2021/03/16/12/GRAPES_surface_0.05_20210316_T12_f014.nc,20210317T020000
